max_depth,reproduction,mutation_probability,leaf_inner_swap_probability,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
20,truncation_0.8,0.4,0.0,0.4,generational,0.8775384615384616,0.7472527472527473,0.967032967032967,0.041557756753725014
20,truncation_0.8,0.4,0.0,0.4,elite_2,0.9113846153846155,0.8351648351648352,0.967032967032967,0.029032089262014626
20,truncation_0.8,0.4,0.3,0.0,generational,0.8925714285714286,0.7802197802197802,0.956043956043956,0.03012259193840494
20,truncation_0.8,0.4,0.3,0.0,elite_2,0.9170989010989011,0.8461538461538461,0.978021978021978,0.026165431349594204
20,truncation_0.8,0.4,0.3,0.4,generational,0.8909010989010988,0.7912087912087912,0.956043956043956,0.03179948356699904
20,truncation_0.8,0.4,0.3,0.4,elite_2,0.9166593406593406,0.8461538461538461,0.978021978021978,0.02724771539920915
20,truncation_0.8,0.8,0.0,0.0,generational,0.8792967032967033,0.7362637362637363,0.967032967032967,0.045736367475162513
20,truncation_0.8,0.8,0.0,0.0,elite_2,0.9083956043956044,0.8241758241758241,0.967032967032967,0.026440892594847828
20,truncation_0.8,0.8,0.0,0.4,generational,0.8806153846153846,0.7032967032967034,0.967032967032967,0.042154318550407285
20,truncation_0.8,0.8,0.0,0.4,elite_2,0.9075164835164835,0.8461538461538461,0.967032967032967,0.027425837673598148
20,truncation_0.8,0.8,0.3,0.0,generational,0.8933626373626373,0.8131868131868132,0.967032967032967,0.02670038627296685
20,truncation_0.8,0.8,0.3,0.0,elite_2,0.9186813186813186,0.8461538461538461,0.978021978021978,0.026808711802815466
20,truncation_0.8,0.8,0.3,0.4,generational,0.8958241758241757,0.7912087912087912,0.967032967032967,0.02740509270614443
20,truncation_0.8,0.8,0.3,0.4,elite_2,0.9207032967032966,0.8351648351648352,0.989010989010989,0.02657462108331059
20,tournament_2,0.4,0.0,0.0,generational,0.9032967032967033,0.8131868131868132,0.956043956043956,0.028737282097852857
20,tournament_2,0.4,0.0,0.0,elite_2,0.9082197802197802,0.8351648351648352,0.967032967032967,0.027710982151701268
20,tournament_2,0.4,0.0,0.4,generational,0.9056703296703297,0.7362637362637363,0.967032967032967,0.037348663900745815
20,tournament_2,0.4,0.0,0.4,elite_2,0.9172747252747253,0.8461538461538461,0.967032967032967,0.024713495165564862
20,tournament_2,0.4,0.3,0.0,generational,0.9095384615384616,0.8351648351648352,0.956043956043956,0.02585210463775418
20,tournament_2,0.4,0.3,0.0,elite_2,0.9211428571428572,0.8681318681318682,0.978021978021978,0.024889720580439388
20,tournament_2,0.4,0.3,0.4,generational,0.9082197802197802,0.8131868131868132,0.967032967032967,0.026044262663526118
20,tournament_2,0.4,0.3,0.4,elite_2,0.9196483516483517,0.8241758241758241,0.989010989010989,0.027398553366479228
20,tournament_2,0.8,0.0,0.0,generational,0.8959999999999999,0.7472527472527473,0.967032967032967,0.034286032411106976
20,tournament_2,0.8,0.0,0.0,elite_2,0.9084835164835166,0.8351648351648352,0.967032967032967,0.026836886104261732
20,tournament_2,0.8,0.0,0.4,generational,0.9047912087912089,0.8241758241758241,0.967032967032967,0.028360138214277374
20,tournament_2,0.8,0.0,0.4,elite_2,0.9145494505494506,0.8241758241758241,0.978021978021978,0.028732672918823858
20,tournament_2,0.8,0.3,0.0,generational,0.9113846153846155,0.8351648351648352,0.967032967032967,0.02708856100917072
20,tournament_2,0.8,0.3,0.0,elite_2,0.9238681318681319,0.8461538461538461,0.989010989010989,0.02489410240822169
20,tournament_2,0.8,0.3,0.4,generational,0.9044395604395605,0.7912087912087912,0.978021978021978,0.030101893746934456
20,tournament_2,0.8,0.3,0.4,elite_2,0.9234285714285714,0.8681318681318682,0.978021978021978,0.024962858691145746
